"","ProductType.Accessories","ProductType.Display","ProductType.ExtendedWarranty","ProductType.GameConsole","ProductType.Laptop","ProductType.Netbook","ProductType.PC","ProductType.Printer","ProductType.PrinterSupplies","ProductType.Smartphone","ProductType.Software","ProductType.Tablet","x4StarReviews","x2StarReviews","PositiveServiceReview","Volume","Prediction","Error","Model","Partition"
"1",0,0,0,0,0,0,1,0,0,0,0,0,-0.611994249250463,-0.264056577950705,-0.48282119190597,12,13.6,0.23,"knn","training"
"2",0,0,0,0,0,0,1,0,0,0,0,0,-0.654331767158699,-0.264056577950705,-0.493923801861355,8,16.89,0.25,"knn","training"
"3",0,0,0,0,0,0,1,0,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.493923801861355,12,16.5,0.24,"knn","training"
"4",0,0,0,0,1,0,0,0,0,0,0,0,-0.273294105984575,-0.194863700861719,-0.427308142129045,196,144,0.01,"knn","training"
"5",0,0,0,0,1,0,0,0,0,0,0,0,-0.0192689985351587,-0.102606531409737,-0.427308142129045,232,210.4,0.13,"knn","training"
"6",1,0,0,0,0,0,0,0,0,0,0,0,-0.0404377574892767,-0.0564779466837455,-0.371795092352121,332,421.6,0.58,"knn","training"
"8",1,0,0,0,0,0,0,0,0,0,0,0,-0.273294105984575,-0.148735116135728,-0.449513362039815,132,184.8,0.43,"knn","training"
"9",1,0,0,0,0,0,0,0,0,0,0,0,-0.484981695525755,-0.264056577950705,-0.48282119190597,64,60.8,0.21,"knn","training"
"11",1,0,0,0,0,0,0,0,0,0,0,0,-0.633163008204581,-0.171799408498723,-0.48282119190597,84,51.2,0.09,"knn","training"
"12",1,0,0,0,0,0,0,0,0,0,0,0,-0.146281552259867,-0.194863700861719,-0.405102922218276,300,267.2,0.09,"knn","training"
"14",1,0,0,0,0,0,0,0,0,0,0,0,0.636962529042499,-0.079542239046741,-0.0165115737798032,1252,1144,-0.22,"knn","training"
"17",1,0,0,0,0,0,0,0,0,0,0,0,-0.569656731342227,-0.217927993224714,-0.50502641181674,44,51.2,0.25,"knn","training"
