"","ProductType.Accessories","ProductType.Display","ProductType.ExtendedWarranty","ProductType.GameConsole","ProductType.Laptop","ProductType.Netbook","ProductType.PC","ProductType.Printer","ProductType.PrinterSupplies","ProductType.Smartphone","ProductType.Software","ProductType.Tablet","x4StarReviews","x2StarReviews","PositiveServiceReview","Volume","Prediction","Error","Model","Partition"
"1",0,0,0,0,0,0,1,0,0,0,0,0,-0.611994249250463,-0.264056577950705,-0.48282119190597,12,24.34,0.04,"lm","training"
"2",0,0,0,0,0,0,1,0,0,0,0,0,-0.654331767158699,-0.264056577950705,-0.493923801861355,8,7.45,0,"lm","training"
"3",0,0,0,0,0,0,1,0,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.493923801861355,12,0.21,-0.04,"lm","training"
"4",0,0,0,0,1,0,0,0,0,0,0,0,-0.273294105984575,-0.194863700861719,-0.427308142129045,196,155.5,-0.14,"lm","training"
"5",0,0,0,0,1,0,0,0,0,0,0,0,-0.0192689985351587,-0.102606531409737,-0.427308142129045,232,243.18,0.04,"lm","training"
"6",1,0,0,0,0,0,0,0,0,0,0,0,-0.0404377574892767,-0.0564779466837455,-0.371795092352121,332,428.25,0.33,"lm","training"
"8",1,0,0,0,0,0,0,0,0,0,0,0,-0.273294105984575,-0.148735116135728,-0.449513362039815,132,330.8,0.68,"lm","training"
"9",1,0,0,0,0,0,0,0,0,0,0,0,-0.484981695525755,-0.264056577950705,-0.48282119190597,64,250.09,0.63,"lm","training"
"11",1,0,0,0,0,0,0,0,0,0,0,0,-0.633163008204581,-0.171799408498723,-0.48282119190597,84,200.3,0.4,"lm","training"
"12",1,0,0,0,0,0,0,0,0,0,0,0,-0.146281552259867,-0.194863700861719,-0.405102922218276,300,383.5,0.28,"lm","training"
"14",1,0,0,0,0,0,0,0,0,0,0,0,0.636962529042499,-0.079542239046741,-0.0165115737798032,1252,737.29,-1.76,"lm","training"
"17",1,0,0,0,0,0,0,0,0,0,0,0,-0.569656731342227,-0.217927993224714,-0.50502641181674,44,216.72,0.59,"lm","training"
"18",1,0,0,0,0,0,0,0,0,0,0,0,1.44137536929898,0.197229269309205,2.93678267435259,680,1660.76,3.34,"lm","training"
"19",1,0,0,0,0,0,0,0,0,0,0,0,-0.421475418663401,-0.264056577950705,-0.471718581950585,60,274.22,0.73,"lm","training"
"20",0,0,0,0,0,0,0,0,0,0,1,0,-0.633163008204581,-0.217927993224714,-0.4606159719952,80,57.57,-0.08,"lm","training"
"21",0,0,0,0,0,0,0,0,0,0,1,0,-0.357969141801047,-0.217927993224714,-0.449513362039815,136,154.06,0.06,"lm","training"
"23",0,0,0,0,0,0,0,0,0,0,1,0,3.91812016693079,8.26973159635765,1.09374942175869,2052,2032.33,-0.07,"lm","training"
"24",0,0,0,0,0,0,0,0,0,0,1,0,-0.294462864938693,-0.24099228558771,-0.4606159719952,116,173.13,0.19,"lm","training"
"25",0,0,0,0,0,0,0,0,0,0,1,0,-0.0192689985351587,-0.194863700861719,-0.427308142129045,308,274.91,-0.11,"lm","training"
"26",0,1,0,0,0,0,0,0,0,0,0,0,1.73773799465664,0.243357854035197,-0.0387167936905731,1224,1041.6,-0.62,"lm","training"
"27",0,0,0,0,0,0,0,1,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.493923801861355,32,25.55,-0.02,"lm","training"
"29",0,0,0,0,0,0,0,0,1,0,0,0,-0.675500526112817,-0.24099228558771,-0.493923801861355,0,9.99,0.03,"lm","training"
"30",0,0,0,0,0,0,0,0,1,0,0,0,-0.633163008204581,-0.264056577950705,-0.493923801861355,24,24.24,0,"lm","training"
"31",0,0,0,0,0,0,0,0,1,0,0,0,-0.675500526112817,-0.264056577950705,-0.493923801861355,20,9.77,-0.03,"lm","training"
"32",0,0,1,0,0,0,0,0,0,0,0,0,-0.654331767158699,-0.24099228558771,-0.50502641181674,0,276.06,0.94,"lm","training"
"33",0,0,1,0,0,0,0,0,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.50502641181674,20,268.61,0.85,"lm","training"
"34",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1144.55,-0.3,"lm","training"
"36",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1144.55,-0.3,"lm","training"
"38",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1144.55,-0.3,"lm","training"
"39",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1144.55,-0.3,"lm","training"
"40",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1144.55,-0.3,"lm","training"
"41",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1144.55,-0.3,"lm","training"
"43",0,0,0,0,1,0,0,0,0,0,0,0,-0.379137900755165,-0.148735116135728,-0.43841075208443,88,117.32,0.1,"lm","training"
"44",1,0,0,0,0,0,0,0,0,0,0,0,-0.0616065164433947,-0.171799408498723,-0.371795092352121,368,419.94,0.18,"lm","training"
"46",1,0,0,0,0,0,0,0,0,0,0,0,0.573456252180145,0.335615023487179,0.161130185506356,1464,758.3,-2.41,"lm","training"
"47",1,0,0,0,0,0,0,0,0,0,0,0,1.08150646707898,0.612386531843125,-0.338487262485966,836,825.26,-0.04,"lm","training"
"48",1,0,0,0,0,0,0,0,0,0,0,0,4.84954556091198,2.13462982780083,0.827286782829451,2140,2382.38,0.83,"lm","training"
"49",1,0,0,0,0,0,0,0,0,0,0,0,-0.633163008204581,-0.217927993224714,-0.449513362039815,52,207.15,0.53,"lm","training"
"51",1,0,0,0,0,0,0,0,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.493923801861355,12,182.54,0.58,"lm","training"
"52",1,0,0,0,0,0,0,0,0,0,0,0,0.0230685193730773,-0.102606531409737,-0.43841075208443,204,434.96,0.79,"lm","training"
"53",1,0,0,0,0,0,0,0,0,0,0,0,0.128912314143667,-0.125670823772732,0.383182384614054,1896,650.62,-4.25,"lm","training"
"55",1,0,0,0,0,0,0,0,0,0,0,0,0.107743555189549,-0.102606531409737,-0.360692482396736,904,480.9,-1.44,"lm","training"
"56",0,1,0,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.171799408498723,-0.427308142129045,360,323.24,-0.13,"lm","training"
"58",0,1,0,0,0,0,0,0,0,0,0,0,-0.400306659709283,-0.148735116135728,-0.4606159719952,104,214.87,0.38,"lm","training"
"59",0,1,0,0,0,0,0,0,0,0,0,0,-0.463812936571637,-0.24099228558771,-0.4606159719952,84,192.3,0.37,"lm","training"
"60",0,0,0,0,0,0,0,1,0,0,0,0,-0.146281552259867,-0.125670823772732,-0.4606159719952,296,215.01,-0.28,"lm","training"
"61",0,0,0,0,0,0,0,1,0,0,0,0,0.0230685193730773,-0.194863700861719,-0.449513362039815,232,274.68,0.15,"lm","training"
"62",0,0,0,0,0,0,0,1,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.50502641181674,16,23.12,0.02,"lm","training"
"63",0,0,0,0,0,0,0,1,0,0,0,0,-0.611994249250463,-0.217927993224714,-0.50502641181674,32,45.25,0.05,"lm","training"
"64",0,0,0,0,0,0,0,1,0,0,0,0,-0.675500526112817,-0.24099228558771,-0.493923801861355,8,25.76,0.06,"lm","training"
"65",0,0,0,0,0,0,0,1,0,0,0,0,-0.400306659709283,-0.125670823772732,-0.4606159719952,80,128.18,0.16,"lm","training"
"68",0,0,0,0,0,0,0,1,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.471718581950585,32,30.4,-0.01,"lm","training"
"69",0,0,0,0,0,0,0,1,0,0,0,0,0.234756108914257,-0.0103493619577544,-0.416205532173661,396,356.04,-0.14,"lm","training"
"70",0,0,0,0,0,1,0,0,0,0,0,0,-0.675500526112817,-0.24099228558771,-0.50502641181674,4,4,0,"lm","training"
"71",0,0,0,0,0,0,0,0,0,0,0,1,0.721637564858971,0.197229269309205,-0.371795092352121,592,553.88,-0.13,"lm","training"
"75",0,0,0,0,0,0,0,0,0,0,0,1,-0.654331767158699,-0.264056577950705,-0.50502641181674,12,50.12,0.13,"lm","training"
"76",0,0,0,0,0,0,0,0,0,1,0,0,-0.146281552259867,-0.0103493619577544,-0.405102922218276,248,602.82,1.21,"lm","training"
"77",0,0,0,0,0,0,0,0,0,1,0,0,-0.315631623892811,-0.217927993224714,-0.449513362039815,72,533.29,1.57,"lm","training"
"79",0,0,0,0,0,0,0,0,0,1,0,0,-0.0827752753975127,-0.03341365432075,-0.260768992798272,1472,655.88,-2.78,"lm","training"
"80",0,0,0,1,0,0,0,0,0,0,0,0,1.16618150289545,0.0588435151312322,-0.183050723110577,1684,1684,0,"lm","training"
"7",1,0,0,0,0,0,0,0,0,0,0,0,-0.611994249250463,-0.264056577950705,-0.471718581950585,44,209.1,0.64,"lm","testing"
"10",1,0,0,0,0,0,0,0,0,0,0,0,-0.654331767158699,-0.264056577950705,-0.48282119190597,40,192.2,0.59,"lm","testing"
"13",1,0,0,0,0,0,0,0,0,0,0,0,-0.506150454479873,-0.264056577950705,-0.48282119190597,40,242.85,0.77,"lm","testing"
"15",1,0,0,0,0,0,0,0,0,0,0,0,1.82241303047311,-0.102606531409737,0.127822355640201,1396,1173.84,-0.68,"lm","testing"
