"","ProductType.Accessories","ProductType.Display","ProductType.ExtendedWarranty","ProductType.GameConsole","ProductType.Laptop","ProductType.Netbook","ProductType.PC","ProductType.Printer","ProductType.PrinterSupplies","ProductType.Smartphone","ProductType.Software","ProductType.Tablet","x4StarReviews","x2StarReviews","PositiveServiceReview","Volume","Prediction","Error","Model","Partition"
"1",0,0,0,0,0,0,1,0,0,0,0,0,-0.611994249250463,-0.264056577950705,-0.48282119190597,12,72.34,0.39,"svmRadial","training"
"2",0,0,0,0,0,0,1,0,0,0,0,0,-0.654331767158699,-0.264056577950705,-0.493923801861355,8,66.64,0.39,"svmRadial","training"
"3",0,0,0,0,0,0,1,0,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.493923801861355,12,64.29,0.36,"svmRadial","training"
"4",0,0,0,0,1,0,0,0,0,0,0,0,-0.273294105984575,-0.194863700861719,-0.427308142129045,196,162.71,0.05,"svmRadial","training"
"5",0,0,0,0,1,0,0,0,0,0,0,0,-0.0192689985351587,-0.102606531409737,-0.427308142129045,232,203.22,0.07,"svmRadial","training"
"6",1,0,0,0,0,0,0,0,0,0,0,0,-0.0404377574892767,-0.0564779466837455,-0.371795092352121,332,324.36,0.15,"svmRadial","training"
"8",1,0,0,0,0,0,0,0,0,0,0,0,-0.273294105984575,-0.148735116135728,-0.449513362039815,132,210.67,0.46,"svmRadial","training"
"9",1,0,0,0,0,0,0,0,0,0,0,0,-0.484981695525755,-0.264056577950705,-0.48282119190597,64,120.05,0.38,"svmRadial","training"
"11",1,0,0,0,0,0,0,0,0,0,0,0,-0.633163008204581,-0.171799408498723,-0.48282119190597,84,75.61,0.14,"svmRadial","training"
"12",1,0,0,0,0,0,0,0,0,0,0,0,-0.146281552259867,-0.194863700861719,-0.405102922218276,300,265.22,0.05,"svmRadial","training"
"14",1,0,0,0,0,0,0,0,0,0,0,0,0.636962529042499,-0.079542239046741,-0.0165115737798032,1252,682.99,-1.88,"svmRadial","training"
